Movie Id ,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Director_id,Writer,Actors,View Rating,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date
11,Azizs Dream,Family,"Dramas,Middle-Eastern Films,Comedies,Egyptian Movies",Uzbek,Movie,120,Amr Arafa,11,,,Not Rated,0,0,,1/5/2021
12,Full Out 2: You Got This!,Family,"Children & Family Movies,Movies Based on Real Life,Sports Movies,Dramas,Sports Dramas,Family Features",English,Movie,120,Jeff Deverett,12,"Jeff Deverett, Addy Chan, Alix Sternberg","Logan Edra, Liza Wilk, Sydney Cope, Braedyn Bruner",Not Rated,0,0,,1/1/2021
13,My Giraffe,Family,"Children & Family Movies,Dutch Movies,Family Features",Dutch,Movie,120,Barbara Bredero,13,"Mirjam Oomkes, Laura Weeda, Annie M.G. Schmidt, Tijs van Marle","Martijn Fischer, Medi Broekman, Liam de Vries, Dolores Leeuwin",TV-G,3,2,,12/14/2020
14,De Piraten van Hiernaast,Family,"Children & Family Movies,Comedies,Dutch Movies,Family Features,Family Comedies,Family Sci-Fi & Fantasy,Family Adventures",Dutch,Movie,120,Pim van Hoeve,14,"Sander de Regt, Reggie Naus","Celeste Holsheimer, Samuel Beau Reurekas, Egbert Jan Weeber, Matti Stooker",Not Rated,0,0,,11/29/2020
15,Paw Patrol: Jet to the Rescue,Family,"Children & Family Films,Animal Tales,Canadian Films",English,Movie,60,Charles E. Bastien,15,Louise Moon,"Anya Cooke, Caoimhe Judd",Not Rated,0,1,,11/28/2020
16,Bookmarks,Family,"Kids&#39; TV,TV Shows Based on Books,Family Watch Together TV",English,Series,30,Danush Bhaskar,16,,Lupita Nyong'o,TV-G,0,0,,9/1/2020
17,Luccas Neto em: O Hotel Magico,Family,"Children & Family Movies,Brazilian Movies,Comedies,Slapstick Comedies,Brazilian Comedies,Family Comedies,Music & Musicals,Brazilian Music & Musicals",Portuguese,Movie,120,Lucas Margutti,17,,Luccas Neto,Not Rated,0,0,,8/7/2020
18,The Dog Who Saved Summer,Family,"Children & Family Movies,Animal Tales,Comedies,Family Comedies,Family Cozy Time",English,Movie,120,Sean Olson,18,"Richard Gnolfo, Michael Ciminera, Peter Sullivan, Jeffrey Schenck","Gary Valentine, Patrick Muldoon, Dean Cain, Elisa Donovan",PG,0,0,,8/2/2020
19,Nureyev,Biography,"Biographical Documentaries,Social & Cultural Docs,LGBTQ Movies,Documentary Films,British",English,Movie,120,Moze Mossanen,19,Moze Mossanen,"Tyler Robinson, Etienne Lavigne, Nico Archambault, Greta Hodgkinson",Not Rated,2,3,,1/1/2021
20,Jan Palach,Biography,"Movies Based on Real Life,Czech Movies,Social Issue Dramas,Dramas,Political Dramas",Czech,Movie,120,Robert Sedlácek,20,Eva Kanturková,"Denisa Baresová, Kristína Kanátová, Zuzana Bydzovská, Viktor Zavadil",Not Rated,3,8,,11/5/2020
21,Sagan,Biography,"Movies Based on Real Life,Dramas,French Dramas,French Movies,Historical Dramas",French,Movie,170,Diane Kurys,21,"Martine Moriconi, Claire Lemaréchal, Diane Kurys","Arielle Dombasle, Pierre Palmade, Jeanne Balibar, Sylvie Testud",Not Rated,2,4,,7/3/2020
22,Wish Man,Biography,"Dramas,Children & Family Movies,Movies Based on Real Life,Biographical Movies,Social Issue Dramas,Family Features",English,Movie,120,Theo Davies,22,Theo Davies,"Danny Trejo, Tom Sizemore, Kirby Bliss Blanton, Andrew Steel",Not Rated,1,0,,12/3/2019
23,Tee Shot: Ariya Jutanugarn,Biography,"Children & Family Movies,Dramas,Movies Based on Real Life,Sports Dramas,Thai Movies,Biographical Movies,Sports Movies,International Dramas",Thai,Movie,120,Tanawat Aiemjinda,23,Thanawat Eam,"Gigi Velicitat, Krissiri Sukhsvasti",Not Rated,0,0,,12/1/2019
24,Mallesham,Biography,"Indian Movies,Telugu-Language Movies,Dramas,Social Issue Dramas,Biographical Movies,Movies Based on Real Life,Independent Movies,International Dramas",Telugu,Movie,170,Raj Rachakonda,24,"Raj Rachakonda, Ramprasad Adpaikar, Peddinti Ashok Kumar","Ananya Nagalla, Priyadarshi, Jhansi, Chakrapani Ananda",Not Rated,0,0,,11/20/2019
